deployment_id,receiver_serial_number,receiver_reference_type,receiver_reference_id,receiver_manufacturer,receiver_model
ASF-Chaleur Bay 27-VR2-2594-2006,2594,ManmadePlatform,ASF_ASF-Chaleur Bay 27,VEMCO,VR2
ASF-Chaleur Bay 28-VR2-2595-2006,2595,ManmadePlatform,ASF_ASF-Chaleur Bay 28,VEMCO,VR2
ASF-Chaleur Bay 2-VR2-5009-2006,5009,ManmadePlatform,ASF_ASF-Chaleur Bay 2,VEMCO,VR2
ASF-Chaleur Bay 2-VR2-5010-2005,5010,ManmadePlatform,ASF_ASF-Chaleur Bay 2,VEMCO,VR2
ASF-Chaleur Bay 3-VR2-5010-2006,5010,ManmadePlatform,ASF_ASF-Chaleur Bay 3,VEMCO,VR2
ASF-Chaleur Bay 3-VR2-5011-2005,5011,ManmadePlatform,ASF_ASF-Chaleur Bay 3,VEMCO,VR2
ASF-Chaleur Bay 4-VR2-5011-2006,5011,ManmadePlatform,ASF_ASF-Chaleur Bay 4,VEMCO,VR2
ASF-Chaleur Bay 4-VR2-5012-2005,5012,ManmadePlatform,ASF_ASF-Chaleur Bay 4,VEMCO,VR2
ASF-Chaleur Bay 5-VR2-5012-2006,5012,ManmadePlatform,ASF_ASF-Chaleur Bay 5,VEMCO,VR2
ASF-Chaleur Bay 5-VR2-5013-2005,5013,ManmadePlatform,ASF_ASF-Chaleur Bay 5,VEMCO,VR2
ASF-Chaleur Bay 6-VR2-5013-2006,5013,ManmadePlatform,ASF_ASF-Chaleur Bay 6,VEMCO,VR2
ASF-Chaleur Bay 6-VR2-5014-2005,5014,ManmadePlatform,ASF_ASF-Chaleur Bay 6,VEMCO,VR2
ASF-Chaleur Bay 7REPLACE-VR2-3337-2006,3337,ManmadePlatform,ASF_ASF-Chaleur Bay 7REPLACE,VEMCO,VR2
ASF-Chaleur Bay 7-VR2-5014-2006,5014,ManmadePlatform,ASF_ASF-Chaleur Bay 7,VEMCO,VR2
ASF-Chaleur Bay 7-VR2-5015-2005,5015,ManmadePlatform,ASF_ASF-Chaleur Bay 7,VEMCO,VR2
ASF-Chaleur Bay 8-VR2-5015-2006,5015,ManmadePlatform,ASF_ASF-Chaleur Bay 8,VEMCO,VR2
ASF-Chaleur Bay 8-VR2-5016-2005,5016,ManmadePlatform,ASF_ASF-Chaleur Bay 8,VEMCO,VR2
ASF-Chaleur Bay 9-VR2-5016-2006,5016,ManmadePlatform,ASF_ASF-Chaleur Bay 9,VEMCO,VR2
ASF-Chaleur Bay 9-VR2-5017-2005,5017,ManmadePlatform,ASF_ASF-Chaleur Bay 9,VEMCO,VR2
ASF-CHBAY-10-VR2-4301-2007,4301,ManmadePlatform,ASF_ASF-CHBAY-10,VEMCO,VR2
ASF-CHBAY-11-VR2-4303-2007,4303,ManmadePlatform,ASF_ASF-CHBAY-11,VEMCO,VR2
ASF-CHBAY-12-VR2-4304-2007,4304,ManmadePlatform,ASF_ASF-CHBAY-12,VEMCO,VR2
ASF-CHBAY-13-VR2-4305-2007,4305,ManmadePlatform,ASF_ASF-CHBAY-13,VEMCO,VR2
